ID1_price,Hour,DayOfWeek,Month,action,reward,cumulative_reward
-8.58,0,6,1,1,0.0,0.0
-12.32,1,6,1,1,0.0,0.0
-5.14,2,6,1,1,0.0,0.0
-9.26,3,6,1,1,0.0,0.0
-5.08,4,6,1,0,3.212874174118042,3.212874174118042
-1.68,5,6,1,1,0.0,3.212874174118042
-4.99,6,6,1,1,0.0,3.212874174118042
-3.14,7,6,1,2,-1.787319302558899,1.425554871559143
-4.8,8,6,1,1,0.0,1.425554871559143
-3.53,9,6,1,1,0.0,1.425554871559143
-7.58,10,6,1,1,0.0,1.425554871559143
-15.75,11,6,1,0,9.961174964904785,11.386729836463928
-7.79,12,6,1,2,-4.434145927429199,6.952583909034729
-5.59,13,6,1,0,3.535426378250122,10.488010287284851
2.44,14,6,1,1,0.0,10.488010287284851
28.39,15,6,1,1,0.0,10.488010287284851
81.36,16,6,1,2,46.3109245300293,56.79893481731415
84.08,17,6,1,1,0.0,56.79893481731415
104.24,18,6,1,1,0.0,56.79893481731415
77.67,19,6,1,1,0.0,56.79893481731415
47.18,20,6,1,1,0.0,56.79893481731415
65.18,21,6,1,1,0.0,56.79893481731415
63.87,22,6,1,1,0.0,56.79893481731415
68.43,23,6,1,1,0.0,56.79893481731415
59.71,0,0,1,1,0.0,56.79893481731415
2.14,1,0,1,0,-1.353454828262329,55.44547998905182
50.41,2,0,1,2,28.69387435913086,84.13935434818268
27.43,3,0,1,0,-17.348255157470703,66.79109919071198
36.92,4,0,1,2,21.01523208618164,87.80633127689362
23.46,5,0,1,0,-14.837407112121582,72.96892416477203
39.89,6,0,1,1,0.0,72.96892416477203
81.23,7,0,1,1,0.0,72.96892416477203
89.02,8,0,1,1,0.0,72.96892416477203
93.93,9,0,1,1,0.0,72.96892416477203
119.41,10,0,1,1,0.0,72.96892416477203
158.14,11,0,1,2,90.0148696899414,162.98379385471344
119.26,12,0,1,1,0.0,162.98379385471344
108.85,13,0,1,0,-68.84278106689453,94.14101278781891
137.15,14,0,1,1,0.0,94.14101278781891
155.81,15,0,1,2,88.68860626220703,182.82961905002594
156.31,16,0,1,1,0.0,182.82961905002594
169.65,17,0,1,1,0.0,182.82961905002594
173.77,18,0,1,1,0.0,182.82961905002594
165.24,19,0,1,1,0.0,182.82961905002594
134.53,20,0,1,1,0.0,182.82961905002594
123.73,21,0,1,1,0.0,182.82961905002594
117.38,22,0,1,1,0.0,182.82961905002594
122.5,23,0,1,1,0.0,182.82961905002594
95.35,0,1,1,0,-60.30463409423828,122.52498495578766
111.67,1,1,1,2,63.56367874145508,186.08866369724274
84.28,2,1,1,0,-53.30335235595703,132.7853113412857
105.27,3,1,1,1,0.0,132.7853113412857
116.67,4,1,1,1,0.0,132.7853113412857
115.96,5,1,1,1,0.0,132.7853113412857
156.02,6,1,1,1,0.0,132.7853113412857
180.57,7,1,1,2,102.7822494506836,235.5675607919693
163.3,8,1,1,1,0.0,235.5675607919693
166.56,9,1,1,1,0.0,235.5675607919693
160.84,10,1,1,1,0.0,235.5675607919693
165.39,11,1,1,1,0.0,235.5675607919693
176.33,12,1,1,1,0.0,235.5675607919693
171.75,13,1,1,1,0.0,235.5675607919693
174.84,14,1,1,1,0.0,235.5675607919693
188.66,15,1,1,1,0.0,235.5675607919693
183.93,16,1,1,1,0.0,235.5675607919693
208.48,17,1,1,1,0.0,235.5675607919693
236.62,18,1,1,1,0.0,235.5675607919693
166.74,19,1,1,1,0.0,235.5675607919693
151.07,20,1,1,1,0.0,235.5675607919693
102.18,21,1,1,1,0.0,235.5675607919693
81.5,22,1,1,1,0.0,235.5675607919693
69.4,23,1,1,1,0.0,235.5675607919693
51.93,0,2,1,1,0.0,235.5675607919693
19.09,1,2,1,1,0.0,235.5675607919693
7.77,2,2,1,1,0.0,235.5675607919693
-5.8,3,2,1,0,3.6682419776916504,239.23580276966095
-6.56,4,2,1,1,0.0,239.23580276966095
0.15,5,2,1,1,0.0,239.23580276966095
80.15,6,2,1,2,45.6221809387207,284.85798370838165
63.25,7,2,1,1,0.0,284.85798370838165
63.78,8,2,1,1,0.0,284.85798370838165
68.54,9,2,1,1,0.0,284.85798370838165
41.91,10,2,1,0,-26.50621223449707,258.3517714738846
58.01,11,2,1,1,0.0,258.3517714738846
73.23,12,2,1,2,41.68324661254883,300.0350180864334
57.36,13,2,1,0,-36.27764892578125,263.75736916065216
55.99,14,2,1,2,31.870067596435547,295.6274367570877
59.96,15,2,1,1,0.0,295.6274367570877
43.3,16,2,1,0,-27.385324478149414,268.2421122789383
53.97,17,2,1,2,30.72026252746582,298.9623748064041
40.58,18,2,1,1,0.0,298.9623748064041
13.6,19,2,1,0,-8.601395606994629,290.3609791994095
25.99,20,2,1,1,0.0,290.3609791994095
34.03,21,2,1,2,19.370216369628906,309.7311955690384
43.44,22,2,1,1,0.0,309.7311955690384
19.87,23,2,1,1,0.0,309.7311955690384
7.78,0,3,1,0,-4.920504093170166,304.8106914758682
-2.36,1,3,1,1,0.0,304.8106914758682
2.25,2,3,1,2,1.2807224988937378,306.09141397476196
-0.44,3,3,1,0,0.27828043699264526,306.3696944117546
1.27,4,3,1,1,0.0,306.3696944117546
4.8,5,3,1,1,0.0,306.3696944117546
65.18,6,3,1,1,0.0,306.3696944117546
107.25,7,3,1,1,0.0,306.3696944117546
130.43,8,3,1,1,0.0,306.3696944117546
154.55,9,3,1,2,87.97140502929688,394.3410994410515
159.52,10,3,1,1,0.0,394.3410994410515
169.01,11,3,1,1,0.0,394.3410994410515
128.45,12,3,1,0,-81.2389144897461,313.1021849513054
145.36,13,3,1,1,0.0,313.1021849513054
163.49,14,3,1,2,93.06014251708984,406.16232746839523
144.99,15,3,1,1,0.0,406.16232746839523
142.84,16,3,1,0,-90.33995056152344,315.8223769068718
164.56,17,3,1,1,0.0,315.8223769068718
154.47,18,3,1,1,0.0,315.8223769068718
141.6,19,3,1,1,0.0,315.8223769068718
137.79,20,3,1,2,78.43144226074219,394.253819167614
119.49,21,3,1,1,0.0,394.253819167614
121.03,22,3,1,1,0.0,394.253819167614
96.14,23,3,1,1,0.0,394.253819167614
104.22,0,4,1,1,0.0,394.253819167614
114.95,1,4,1,1,0.0,394.253819167614
102.06,2,4,1,1,0.0,394.253819167614
77.15,3,4,1,1,0.0,394.253819167614
65.53,4,4,1,0,-41.4448127746582,352.8090063929558
94.64,5,4,1,1,0.0,352.8090063929558
93.04,6,4,1,1,0.0,352.8090063929558
92.77,7,4,1,1,0.0,352.8090063929558
126.88,8,4,1,2,72.22135925292969,425.03036564588547
98.73,9,4,1,0,-62.44233322143555,362.5880324244499
116.53,10,4,1,2,66.33003997802734,428.91807240247726
98.6,11,4,1,0,-62.36011505126953,366.55795735120773
115.56,12,4,1,2,65.77790832519531,432.33586567640305
78.37,13,4,1,0,-49.5655403137207,382.77032536268234
88.36,14,4,1,1,0.0,382.77032536268234
127.65,15,4,1,1,0.0,382.77032536268234
143.57,16,4,1,2,81.72147369384766,464.49179905653
146.98,17,4,1,1,0.0,464.49179905653
132.09,18,4,1,1,0.0,464.49179905653
121.21,19,4,1,1,0.0,464.49179905653
102.12,20,4,1,1,0.0,464.49179905653
107.77,21,4,1,1,0.0,464.49179905653
104.49,22,4,1,1,0.0,464.49179905653
67.11,23,4,1,1,0.0,464.49179905653
66.7,0,5,1,1,0.0,464.49179905653
81.45,1,5,1,1,0.0,464.49179905653
76.1,2,5,1,1,0.0,464.49179905653
64.48,3,5,1,1,0.0,464.49179905653
67.9,4,5,1,1,0.0,464.49179905653
52.53,5,5,1,0,-33.2228889465332,431.2689101099968
69.6,6,5,1,1,0.0,431.2689101099968
87.15,7,5,1,1,0.0,431.2689101099968
80.89,8,5,1,1,0.0,431.2689101099968
87.12,9,5,1,1,0.0,431.2689101099968
98.53,10,5,1,2,56.084259033203125,487.3531691431999
111.29,11,5,1,1,0.0,487.3531691431999
81.18,12,5,1,0,-51.34273910522461,436.0104300379753
83.47,13,5,1,2,47.51195526123047,483.5223852992058
84.32,14,5,1,1,0.0,483.5223852992058
88.65,15,5,1,1,0.0,483.5223852992058
96.46,16,5,1,1,0.0,483.5223852992058
107.8,17,5,1,1,0.0,483.5223852992058
126.86,18,5,1,1,0.0,483.5223852992058
80.92,19,5,1,1,0.0,483.5223852992058
56.61,20,5,1,1,0.0,483.5223852992058
37.06,21,5,1,1,0.0,483.5223852992058
58.21,22,5,1,1,0.0,483.5223852992058
30.58,23,5,1,1,0.0,483.5223852992058
10.62,0,6,1,0,-6.716677665710449,476.80570763349533
16.24,1,6,1,2,9.243969917297363,486.0496775507927
10.65,2,6,1,1,0.0,486.0496775507927
6.04,3,6,1,0,-3.8200314044952393,482.22964614629745
15.51,4,6,1,1,0.0,482.22964614629745
38.42,5,6,1,2,21.869047164916992,504.09869331121445
36.27,6,6,1,0,-22.93916130065918,481.15953201055527
80.05,7,6,1,2,45.56525802612305,526.7247900366783
66.86,8,6,1,1,0.0,526.7247900366783
80.05,9,6,1,1,0.0,526.7247900366783
87.5,10,6,1,1,0.0,526.7247900366783
118.36,11,6,1,1,0.0,526.7247900366783
92.71,12,6,1,1,0.0,526.7247900366783
78.86,13,6,1,0,-49.87544250488281,476.8493475317955
102.28,14,6,1,1,0.0,476.8493475317955
140.58,15,6,1,2,80.01953887939453,556.86888641119
150.36,16,6,1,1,0.0,556.86888641119
115.37,17,6,1,1,0.0,556.86888641119
106.63,18,6,1,1,0.0,556.86888641119
126.27,19,6,1,1,0.0,556.86888641119
139.98,20,6,1,1,0.0,556.86888641119
142.84,21,6,1,1,0.0,556.86888641119
125.79,22,6,1,1,0.0,556.86888641119
98.78,23,6,1,1,0.0,556.86888641119
81.81,0,0,1,1,0.0,556.86888641119
45.61,1,0,1,1,0.0,556.86888641119
18.94,2,0,1,0,-11.978707313537598,544.8901790976524
15.46,3,0,1,1,0.0,544.8901790976524
42.19,4,0,1,1,0.0,544.8901790976524
28.66,5,0,1,1,0.0,544.8901790976524
76.04,6,0,1,1,0.0,544.8901790976524
151.53,7,0,1,2,86.25238800048828,631.1425670981407
127.85,8,0,1,0,-80.85943603515625,550.2831310629845
140.21,9,0,1,1,0.0,550.2831310629845
148.67,10,0,1,2,84.62445068359375,634.9075817465782
136.11,11,0,1,1,0.0,634.9075817465782
125.04,12,0,1,0,-79.08223724365234,555.8253445029259
167.32,13,0,1,1,0.0,555.8253445029259
193.72,14,0,1,1,0.0,555.8253445029259
196.17,15,0,1,1,0.0,555.8253445029259
200.5,16,0,1,1,0.0,555.8253445029259
210.17,17,0,1,2,119.630859375,675.4562038779259
200.78,18,0,1,1,0.0,675.4562038779259
158.64,19,0,1,1,0.0,675.4562038779259
169.22,20,0,1,1,0.0,675.4562038779259
160.33,21,0,1,1,0.0,675.4562038779259
171.48,22,0,1,1,0.0,675.4562038779259
126.03,23,0,1,1,0.0,675.4562038779259
127.8,0,1,1,1,0.0,675.4562038779259
111.43,1,1,1,1,0.0,675.4562038779259
102.59,2,1,1,1,0.0,675.4562038779259
91.5,3,1,1,0,-57.86968231201172,617.5865215659142
92.24,4,1,1,1,0.0,617.5865215659142
112.32,5,1,1,1,0.0,617.5865215659142
151.32,6,1,1,1,0.0,617.5865215659142
201.96,7,1,1,1,0.0,617.5865215659142
204.93,8,1,1,1,0.0,617.5865215659142
215.78,9,1,1,2,122.82412719726562,740.4106487631798
168.23,10,1,1,1,0.0,740.4106487631798
169.56,11,1,1,1,0.0,740.4106487631798
141.58,12,1,1,1,0.0,740.4106487631798
141.85,13,1,1,1,0.0,740.4106487631798
141.21,14,1,1,1,0.0,740.4106487631798
152.48,15,1,1,1,0.0,740.4106487631798
135.8,16,1,1,1,0.0,740.4106487631798
120.62,17,1,1,1,0.0,740.4106487631798
110.6,18,1,1,1,0.0,740.4106487631798
109.04,19,1,1,1,0.0,740.4106487631798
97.51,20,1,1,1,0.0,740.4106487631798
76.87,21,1,1,1,0.0,740.4106487631798
74.65,22,1,1,1,0.0,740.4106487631798
10.16,23,1,1,0,-6.425748348236084,733.9849004149437
-1.71,0,2,1,1,0.0,733.9849004149437
-3.5,1,2,1,1,0.0,733.9849004149437
-3.23,2,2,1,2,-1.838548183441162,732.1463522315025
-1.54,3,2,1,0,0.973981499671936,733.1203337311745
-0.57,4,2,1,1,0.0,733.1203337311745
9.49,5,2,1,1,0.0,733.1203337311745
81.81,6,2,1,1,0.0,733.1203337311745
121.44,7,2,1,1,0.0,733.1203337311745
147.49,8,2,1,2,83.9527816772461,817.0731154084206
126.21,9,2,1,1,0.0,817.0731154084206
126.23,10,2,1,1,0.0,817.0731154084206
127.73,11,2,1,1,0.0,817.0731154084206
121.46,12,2,1,1,0.0,817.0731154084206
116.42,13,2,1,1,0.0,817.0731154084206
107.8,14,2,1,1,0.0,817.0731154084206
98.61,15,2,1,1,0.0,817.0731154084206
104.91,16,2,1,1,0.0,817.0731154084206
96.27,17,2,1,1,0.0,817.0731154084206
94.75,18,2,1,1,0.0,817.0731154084206
89.48,19,2,1,1,0.0,817.0731154084206
88.06,20,2,1,1,0.0,817.0731154084206
69.94,21,2,1,1,0.0,817.0731154084206
94.84,22,2,1,1,0.0,817.0731154084206
70.85,23,2,1,1,0.0,817.0731154084206
33.33,0,3,1,1,0.0,817.0731154084206
4.11,1,3,1,0,-2.5993921756744385,814.4737232327461
-0.21,2,3,1,2,-0.11953409761190414,814.3541891351342
-5.45,3,3,1,0,3.446882724761963,817.8010718598962
-0.66,4,3,1,1,0.0,817.8010718598962
35.52,5,3,1,1,0.0,817.8010718598962
58.46,6,3,1,1,0.0,817.8010718598962
73.11,7,3,1,1,0.0,817.8010718598962
69.77,8,3,1,1,0.0,817.8010718598962
71.57,9,3,1,2,40.73835754394531,858.5394294038415
68.81,10,3,1,1,0.0,858.5394294038415
74.41,11,3,1,1,0.0,858.5394294038415
65.15,12,3,1,1,0.0,858.5394294038415
63.54,13,3,1,0,-40.18622589111328,818.3532035127282
75.57,14,3,1,1,0.0,818.3532035127282
90.48,15,3,1,1,0.0,818.3532035127282
112.69,16,3,1,1,0.0,818.3532035127282
138.67,17,3,1,2,78.9323501586914,897.2855536714196
127.43,18,3,1,1,0.0,897.2855536714196
105.29,19,3,1,1,0.0,897.2855536714196
77.01,20,3,1,1,0.0,897.2855536714196
89.1,21,3,1,1,0.0,897.2855536714196
87.79,22,3,1,1,0.0,897.2855536714196
82.12,23,3,1,1,0.0,897.2855536714196
73.62,0,4,1,1,0.0,897.2855536714196
88.6,1,4,1,1,0.0,897.2855536714196
57.65,2,4,1,1,0.0,897.2855536714196
24.88,3,4,1,1,0.0,897.2855536714196
7.92,4,4,1,0,-5.009047985076904,892.2765056863427
41.13,5,4,1,1,0.0,892.2765056863427
88.84,6,4,1,1,0.0,892.2765056863427
94.02,7,4,1,1,0.0,892.2765056863427
120.99,8,4,1,2,68.86871337890625,961.145219065249
118.1,9,4,1,1,0.0,961.145219065249
123.59,10,4,1,1,0.0,961.145219065249
104.05,11,4,1,1,0.0,961.145219065249
82.44,12,4,1,1,0.0,961.145219065249
84.81,13,4,1,1,0.0,961.145219065249
88.98,14,4,1,1,0.0,961.145219065249
80.58,15,4,1,0,-50.9632682800293,910.1819507852197
92.69,16,4,1,2,52.760074615478516,962.9420254006982
100.18,17,4,1,1,0.0,962.9420254006982
120.53,18,4,1,1,0.0,962.9420254006982
136.53,19,4,1,1,0.0,962.9420254006982
118.36,20,4,1,1,0.0,962.9420254006982
120.62,21,4,1,1,0.0,962.9420254006982
92.83,22,4,1,1,0.0,962.9420254006982
81.73,23,4,1,1,0.0,962.9420254006982
