time_step,action,price,soc,reward,cumulative_reward
57,DISCHARGE,72.69,0.8,41.37587336117511,166.97458501221078
58,IDLE,71.12,0.2,0.0,166.97458501221078
59,IDLE,58.35,0.2,0.0,166.97458501221078
60,CHARGE,47.31,0.2,-29.92147122051321,137.05311379169757
61,DISCHARGE,74.72,0.8,42.53136961820064,179.5844834098982
62,IDLE,71.42,0.2,0.0,179.5844834098982
63,CHARGE,58.8,0.2,-37.188385283580146,142.39609812631807
64,IDLE,80.94,0.8,0.0,142.39609812631807
65,IDLE,88.19,0.8,0.0,142.39609812631807
66,DISCHARGE,88.82,0.8,50.55723031970798,192.95332844602603
67,IDLE,80.0,0.2,0.0,192.95332844602603
68,IDLE,82.88,0.2,0.0,192.95332844602603
69,IDLE,77.98,0.2,0.0,192.95332844602603
70,CHARGE,58.12,0.2,-36.75831552179725,156.1950129242288
71,DISCHARGE,66.29,0.8,37.73292949666114,193.92794242088993
72,IDLE,62.5,0.2,0.0,193.92794242088993
73,IDLE,47.31,0.2,0.0,193.92794242088993
74,IDLE,12.72,0.2,0.0,193.92794242088993
75,CHARGE,-1.12,0.2,0.7083501958777172,194.63629261676766
76,IDLE,12.48,0.8,0.0,194.63629261676766
77,IDLE,46.4,0.8,0.0,194.63629261676766
78,IDLE,75.35,0.8,0.0,194.63629261676766
79,IDLE,87.91,0.8,0.0,194.63629261676766
80,IDLE,79.56,0.8,0.0,194.63629261676766
81,DISCHARGE,89.77,0.8,51.09797979959678,245.73427241636443
82,CHARGE,72.56,0.2,-45.89097340436353,199.8432990120009
83,IDLE,84.92,0.8,0.0,199.8432990120009
84,DISCHARGE,95.06,0.8,54.10910058760911,253.95239959961
85,CHARGE,82.61,0.2,-52.24715150130198,201.70524809830803
86,IDLE,97.6,0.8,0.0,201.70524809830803
87,IDLE,101.77,0.8,0.0,201.70524809830803
88,IDLE,102.04,0.8,0.0,201.70524809830803
89,IDLE,149.76,0.8,0.0,201.70524809830803
90,DISCHARGE,177.99,0.8,101.31368413200659,303.0189322303146
91,IDLE,114.0,0.2,0.0,303.0189322303146
92,IDLE,107.63,0.2,0.0,303.0189322303146
93,IDLE,86.18,0.2,0.0,303.0189322303146
94,IDLE,88.02,0.2,0.0,303.0189322303146
95,CHARGE,76.28,0.2,-48.24370798352881,254.7752242467858
96,DISCHARGE,87.74,0.8,49.94248354257125,304.71770778935706
97,IDLE,80.2,0.2,0.0,304.71770778935706
98,IDLE,82.7,0.2,0.0,304.71770778935706
99,IDLE,70.89,0.2,0.0,304.71770778935706
100,CHARGE,62.81,0.2,-39.72453196703519,264.99317582232186
101,IDLE,67.8,0.8,0.0,264.99317582232186
102,IDLE,87.93,0.8,0.0,264.99317582232186
103,IDLE,83.11,0.8,0.0,264.99317582232186
104,DISCHARGE,100.88,0.8,57.4219026644015,322.41507848672336
105,CHARGE,83.61,0.2,-52.879607033335645,269.5354714533877
106,IDLE,90.98,0.8,0.0,269.5354714533877
