lags,ar_order,ma_order,out_of_sample_rmse,aic,bic,error
2,3,4,29.60272000911839,83637.3110361755,83736.392760424,
4,1,0,29.724327810286223,84216.27299026467,84287.04907685988,
4,4,0,29.724348641763836,83689.96918098272,83781.97363921348,
4,3,1,29.72435314170541,83689.96743182442,83781.97337500578,
4,0,4,29.724354354461315,83666.17957769726,83758.18255080777,
4,4,1,29.724354456400206,83687.03181896321,83786.11354321172,
4,2,1,29.724354936743566,83701.81423081656,83786.74416432026,
4,0,3,29.724356027854597,83675.05955298197,83759.98674519498,
4,0,1,29.724357440938437,83689.88050174371,83760.65544633014,
4,0,2,29.724357830821987,83681.63327451552,83759.48445720744,
4,1,1,29.724357931781356,83691.42626342697,83769.27870247205,
4,3,0,29.724358858134426,83711.4300790414,83796.35864197803,
4,2,0,29.724363425943828,83858.71286982125,83936.56530886632,
4,0,0,29.72536117787662,156591.35014928514,156655.04862722082,
4,1,2,29.725370400860182,83682.27082018937,83767.199383126,
3,3,0,29.725721324697073,83707.44731838713,83785.29850107904,
3,4,0,29.725726324382602,83685.57570040057,83770.50289261359,
3,3,1,29.725727858332064,83686.24537785655,83771.17394079319,
3,1,0,29.725729763945992,84213.80285239825,84277.50133033395,
3,0,4,29.725731961623726,83663.50788869718,83748.43371002996,
3,2,1,29.72573601723386,83703.50926212565,83781.36170117072,
3,0,3,29.725737343581358,83674.01490743224,83751.8648336275,
3,0,2,29.72573890280123,83680.04885052041,83750.82265296762,
3,0,1,29.72573892650167,83687.9553787646,83751.65282889239,
3,1,1,29.725739045355407,83689.53207693149,83760.30702151792,
3,4,1,29.725739156498125,83684.29759249628,83776.30205072704,
3,1,2,29.725739220985712,83682.02232431395,83759.87350700586,
3,3,2,29.72574197762002,83671.16153009256,83763.16747327392,
3,2,2,29.725744087899706,83670.11978984818,83755.04835278481,
3,2,0,29.725765614969305,83857.64865365204,83928.42359823847,
3,0,0,29.727653458322212,156589.51972070194,156646.1405899781,
2,3,0,29.734777349736213,83699.85489383365,83770.62983842008,
2,4,0,29.734781613160987,83684.97712305692,83762.82830574883,
2,3,1,29.73478448734679,83687.46293386548,83765.31537291055,
2,1,0,29.734785995764526,84229.27554703475,84285.89732981364,
2,0,4,29.734787176907286,83670.53383674627,83748.38376294152,
2,4,1,29.73479258078841,83689.04205169779,83773.97061463443,
2,2,1,29.734792688787085,83721.76286559856,83792.53895219378,
2,0,3,29.73479409112829,83684.96001978652,83755.73382223373,
2,1,2,29.7347940940675,83694.5531634498,83765.32810803624,
2,0,1,29.7347944424682,83696.80864080095,83753.42951007713,
2,0,2,29.734794547162846,83690.24969838867,83753.94714851645,
2,1,1,29.73479477238352,83699.4967597372,83763.1952376729,
2,2,2,29.734796222462784,83688.18693770474,83766.03937674982,
2,1,3,29.73479864448755,83680.39659094365,83758.24777363556,
2,2,3,29.734807652840193,83682.04385273927,83766.9724156759,
2,2,0,29.73520510344705,83853.22597640388,83916.92445433958,
3,1,3,29.735750750229773,83656.42672066967,83741.35391288268,
2,0,0,29.73672419940649,156607.1134185663,156656.65747849783,
4,1,3,29.738003475559566,83656.38077868383,83748.38523691459,
3,3,3,29.74420912686591,83647.86701403956,83746.94873828806,
4,3,3,29.74441188571155,83649.32341693819,83755.48240720446,
4,2,4,29.745583854177273,83639.61629040279,83745.77356706877,
2,4,4,29.746251652225183,83645.39078258729,83751.54977285356,
4,4,3,29.747923331420377,83658.7559842899,83771.99224057392,
4,3,2,29.74831570311504,83666.05743061026,83765.14075403634,
3,2,4,29.748499298425667,83637.85368799759,83736.93381288584,
3,4,3,29.74869265316166,83656.50824323503,83762.6672335013,
4,2,2,29.749174335373674,83660.715420768,83752.72136394936,
4,1,4,29.749536533319418,83645.27615556805,83744.3562804563,
3,1,4,29.7498605259872,83647.14287890597,83739.14585201649,
4,2,3,29.750307056163056,83653.3068445731,83752.38856882161,
3,2,3,29.751883508058693,83652.04386484201,83744.04832307277,
2,4,3,29.754276995279525,83660.55087112889,83759.63419455496,
2,2,4,29.756082841528293,83642.97427606686,83734.97873429762,
2,3,2,29.757855725268556,83672.95275567734,83757.88268918105,
2,1,4,29.759789387479525,83653.6232914851,83738.55048369811,
2,3,3,29.76024556662454,83649.0950993686,83741.10104254996,
4,3,4,29.797328876353514,83648.28362462607,83761.51805306978,
1,0,4,29.813985104254307,83663.51756004158,83734.29022021909,
1,4,1,29.813985933849715,83721.5890865085,83799.44026920041,
1,3,1,29.81399011989749,83730.43061039838,83801.20555498482,
1,4,0,29.81399255371519,83748.04782745901,83818.82162990622,
1,0,2,29.81399609302789,83716.46788616735,83773.08784183649,
1,0,3,29.813996641360465,83697.77727601287,83761.47369821536,
1,1,1,29.813997327944705,83730.49813005372,83787.11899932989,
1,0,1,29.81400609649611,83830.59792563772,83880.14118625438,
1,1,0,29.81405301264917,84513.34180983351,84562.88586976504,
1,1,2,29.814392314187014,83751.31827548894,83815.01572561673,
1,0,0,29.816009578585668,156665.73411309658,156708.20045018074,
1,2,0,29.816033347208297,84157.17974836584,84213.80061764202,
1,2,1,29.821670831108968,84155.9252699736,84219.6237479093,
1,4,4,29.825134761946327,83641.28486753843,83740.36659178694,
1,3,4,29.825907988382887,83612.80861333244,83704.8130715632,
1,2,2,29.83299976813345,83644.51103449664,83715.28597908307,
1,3,0,29.83330922654999,83799.12224082416,83862.81969095195,
1,3,3,29.833634768251816,83636.09671903854,83721.02528197518,
1,2,3,29.83439427383747,83643.34637406227,83721.19755675418,
1,1,4,29.8346010455802,83629.09572513473,83706.94565132998,
1,4,2,29.834751650443714,83809.582418008,83894.51098094463,
1,1,3,29.83477786345196,83641.52361285084,83712.29741529805,
1,2,4,29.83506410618206,83631.31281167339,83716.2400038864,
1,4,3,29.83578849165241,83639.69152043894,83731.6974636203,
1,3,2,29.84071711840426,83647.22258106143,83725.07502010651,
0,0,1,39.28952236652097,85379.94172542475,85422.40806250893,
0,0,0,39.291857447028406,158729.18406177903,158764.57324688983,
0,0,2,39.29664620023645,84646.08118736315,84695.6244479798,
0,0,3,39.298925539232386,84214.5464332707,84271.16638893985,
0,0,4,39.30271199454548,83991.45608270678,84055.15250490926,
3,3,4,3.638501667998727e+81,84186.00820270756,84292.16547937354,
3,4,4,inf,87946.99914931977,88060.23357776349,
2,4,2,,,,Input contains NaN.
3,4,2,,,,Input contains NaN.
4,4,2,,,,Input contains NaN.
4,4,4,,,,Input contains NaN.
