time_step,action,price,soc,reward,cumulative_reward
0,IDLE,-8.58,0.2,0.0,0.0
1,CHARGE,-12.32,0.2,7.7918521546548885,7.7918521546548885
2,DISCHARGE,-5.14,0.8,-2.9257392911877846,4.866112863467103
3,CHARGE,-9.26,0.2,5.85653822663184,10.722651090098942
4,IDLE,-5.08,0.8,0.0,10.722651090098942
5,DISCHARGE,-1.68,0.8,-0.9562727644349179,9.766378325664025
6,CHARGE,-4.99,0.2,3.1559531048480434,12.922331430512068
7,DISCHARGE,-3.14,0.8,-1.7873193335271682,11.1350120969849
8,CHARGE,-4.8,0.2,3.0357865537616444,14.170798650746544
9,DISCHARGE,-3.53,0.8,-2.0093112252709884,12.161487425475556
10,IDLE,-7.58,0.2,0.0,12.161487425475556
11,CHARGE,-15.75,0.2,9.961174629530396,22.122662055005954
12,IDLE,-7.79,0.8,0.0,22.122662055005954
13,IDLE,-5.59,0.8,0.0,22.122662055005954
14,IDLE,2.44,0.8,0.0,22.122662055005954
15,IDLE,28.39,0.8,0.0,22.122662055005954
16,IDLE,81.36,0.8,0.0,22.122662055005954
17,IDLE,84.08,0.8,0.0,22.122662055005954
18,DISCHARGE,104.24,0.8,59.334448193271335,81.45711024827729
19,IDLE,77.67,0.2,0.0,81.45711024827729
20,CHARGE,47.18,0.2,-29.839252001348832,51.617858246928456
21,IDLE,65.18,0.8,0.0,51.617858246928456
22,IDLE,63.87,0.8,0.0,51.617858246928456
23,DISCHARGE,68.43,0.8,38.951038851358,90.56889709828646
24,IDLE,59.71,0.2,0.0,90.56889709828646
25,CHARGE,2.14,0.2,-1.3534548385520666,89.21544225973439
26,DISCHARGE,50.41,0.8,28.69387503283584,117.90931729257022
27,CHARGE,27.43,0.2,-17.34825524368373,100.5610620488865
28,DISCHARGE,36.92,0.8,21.015232418414985,121.57629446730148
29,CHARGE,23.46,0.2,-14.837406781510039,106.73888768579144
30,IDLE,39.89,0.8,0.0,106.73888768579144
31,IDLE,81.23,0.8,0.0,106.73888768579144
32,IDLE,89.02,0.8,0.0,106.73888768579144
33,IDLE,93.93,0.8,0.0,106.73888768579144
34,IDLE,119.41,0.8,0.0,106.73888768579144
35,DISCHARGE,158.14,0.8,90.01486605222495,196.75375373801637
36,IDLE,119.26,0.2,0.0,196.75375373801637
37,CHARGE,108.85,0.2,-68.84278466186562,127.91096907615075
38,IDLE,137.15,0.8,0.0,127.91096907615075
39,IDLE,155.81,0.8,0.0,127.91096907615075
40,IDLE,156.31,0.8,0.0,127.91096907615075
41,IDLE,169.65,0.8,0.0,127.91096907615075
42,DISCHARGE,173.77,0.8,98.91161802134268,226.82258709749343
43,IDLE,165.24,0.2,0.0,226.82258709749343
44,IDLE,134.53,0.2,0.0,226.82258709749343
45,IDLE,123.73,0.2,0.0,226.82258709749343
46,IDLE,117.38,0.2,0.0,226.82258709749343
47,IDLE,122.5,0.2,0.0,226.82258709749343
48,CHARGE,95.35,0.2,-60.304634979411006,166.5179521180824
49,DISCHARGE,111.67,0.8,63.56367833598053,230.08163045406295
50,CHARGE,84.28,0.2,-53.30335223979821,176.77827821426473
51,IDLE,105.27,0.8,0.0,176.77827821426473
52,IDLE,116.67,0.8,0.0,176.77827821426473
53,IDLE,115.96,0.8,0.0,176.77827821426473
54,IDLE,156.02,0.8,0.0,176.77827821426473
55,DISCHARGE,180.57,0.8,102.78224587738877,279.5605240916535
56,IDLE,163.3,0.2,0.0,279.5605240916535
57,IDLE,166.56,0.2,0.0,279.5605240916535
58,CHARGE,160.84,0.2,-101.72414777229645,177.83637631935707
59,IDLE,165.39,0.8,0.0,177.83637631935707
60,IDLE,176.33,0.8,0.0,177.83637631935707
61,IDLE,171.75,0.8,0.0,177.83637631935707
62,IDLE,174.84,0.8,0.0,177.83637631935707
63,IDLE,188.66,0.8,0.0,177.83637631935707
64,IDLE,183.93,0.8,0.0,177.83637631935707
65,IDLE,208.48,0.8,0.0,177.83637631935707
66,DISCHARGE,236.62,0.8,134.68646519082756,312.52284151018466
67,IDLE,166.74,0.2,0.0,312.52284151018466
68,IDLE,151.07,0.2,0.0,312.52284151018466
69,IDLE,102.18,0.2,0.0,312.52284151018466
70,IDLE,81.5,0.2,0.0,312.52284151018466
71,IDLE,69.4,0.2,0.0,312.52284151018466
72,IDLE,51.93,0.2,0.0,312.52284151018466
73,IDLE,19.09,0.2,0.0,312.52284151018466
74,IDLE,7.77,0.2,0.0,312.52284151018466
75,IDLE,-5.8,0.2,0.0,312.52284151018466
76,CHARGE,-6.56,0.2,4.1489082901409144,316.6717498003256
77,IDLE,0.15,0.8,0.0,316.6717498003256
78,DISCHARGE,80.15,0.8,45.62217980324922,362.2939296035748
79,IDLE,63.25,0.2,0.0,362.2939296035748
80,IDLE,63.78,0.2,0.0,362.2939296035748
81,IDLE,68.54,0.2,0.0,362.2939296035748
82,CHARGE,41.91,0.2,-26.50621134753136,335.78771825604343
83,IDLE,58.01,0.8,0.0,335.78771825604343
84,DISCHARGE,73.23,0.8,41.68324674974348,377.4709650057869
85,IDLE,57.36,0.2,0.0,377.4709650057869
