lags,ar_order,ma_order,out_of_sample_rmse,aic,bic,error
3,0,3,39.83427811388093,85585.04739233451,85662.89103389268,
3,0,2,39.835903912565314,86270.1499924623,86340.91808225583,
3,0,1,39.83769029168814,87384.4408800674,87448.13318939423,
3,0,0,39.838033273300006,161526.1587647383,161582.7750649356,
2,0,3,39.84418117790435,85589.37973198194,85660.14667885301,
2,0,2,39.84594597169837,86277.49534609151,86341.18662690568,
2,0,1,39.847125016863316,87378.16994274437,87434.78532881265,
2,0,0,39.84785361846261,161525.34552436203,161574.88478703465,
4,0,3,39.870730533953186,85571.08206811134,85656.0010326929,
4,0,2,39.87238009473167,86273.37613866785,86351.21978022602,
4,0,0,39.87305575985238,161506.454718172,161570.1470274988,
4,0,1,39.8742242598129,87369.77383979084,87440.54192958436,
1,0,3,39.879684086753954,85602.31103671479,85666.00231752895,
1,0,2,39.881434450083944,86293.15312968462,86349.7685157529,
1,0,1,39.882590459810956,87393.78069886437,87443.31996153701,
1,0,0,39.883317441535574,161542.7791230085,161585.2420336749,
3,0,4,39.90481630023725,85161.78154128311,85246.70050586468,
2,0,4,39.91046880911284,85167.92728783912,85245.76967203888,
4,0,4,39.9351295750931,85154.55231249068,85246.54637131514,
1,0,4,39.94101774787808,85184.61673016226,85255.38367703333,
3,2,0,40.19096284960878,84447.59382518126,84518.36305776662,
3,2,3,40.20608025914393,84415.74425253332,84507.7412834657,
2,2,0,40.209689646142685,84453.50254711308,84517.1948564399,
4,2,0,40.22357761915504,84445.09438848846,84522.93928726132,
3,1,1,40.238123737826506,84428.20634464716,84498.97557723252,
3,3,1,40.23823385184898,84421.34890804022,84506.27061579244,
3,4,1,40.2398403435372,84413.24550898385,84505.24253991623,
2,2,3,40.24282956154017,84410.18477673149,84495.10511297676,
3,1,4,40.2544602490623,84401.76453073755,84493.7600757009,
1,2,0,40.254892835814026,84468.64001821978,84525.25631841707,
3,2,2,40.25723455506362,84418.72675490161,84503.64846265383,
2,1,1,40.25778440026512,84432.50044971274,84496.19275903956,
2,3,1,40.25959754024899,84422.79594074035,84500.64083951322,
2,4,1,40.26098536739664,84414.89072996278,84499.81106620804,
4,2,3,40.26923662708703,84405.77730477562,84504.84943012077,
4,1,1,40.2706374112795,84425.32215067685,84503.16704944971,
4,4,1,40.27165639361728,84409.61610407317,84508.68822941832,
4,3,1,40.271690201524414,84417.04834006687,84509.04537099926,
2,2,4,40.2787316607837,84406.16634272621,84498.16188768957,
3,2,1,40.27932471646088,84427.73891640529,84505.58507224919,
2,2,2,40.27939143303503,84420.1301119584,84497.97501073126,
3,2,4,40.28340002461885,84404.15151760384,84503.22364294899,
2,1,2,40.284532100418176,84419.19870362987,84489.96679342339,
4,2,2,40.28800007920721,84415.45822656323,84507.45525749562,
4,1,2,40.29292052908402,84414.65650326462,84499.57683950989,
1,2,3,40.302899275181794,84427.26174263506,84505.10664140793,
1,1,1,40.30462770905482,84447.756311427,84504.37261162429,
1,3,1,40.30547602133311,84440.04791354819,84510.81714613354,
1,4,1,40.30828527958249,84429.81038983032,84507.65528860319,
1,2,4,40.314735068527675,84421.39058315166,84506.31091939693,
2,2,1,40.3160473796781,84431.05501450466,84501.82424709001,
1,2,2,40.326079030888,84437.42059842934,84508.1898310147,
4,2,1,40.33721070397518,84424.99886385027,84509.92057160249,
4,3,4,40.343738528499635,84409.92927734296,84523.15273435767,
1,2,1,40.35400785597423,84446.51416682958,84510.20750455154,
3,4,4,41.256151566245485,84466.28744209134,84579.51272820009,
1,3,4,41.26810332568226,84396.010235489,84488.00726642138,
1,4,4,41.74018701066834,84503.74408573024,84602.81781134973,
0,0,3,41.854325985113285,85592.68940249846,85649.30387433327,
0,0,0,41.85477312257732,161581.70796791368,161617.09372680236,
0,0,2,41.85501886772546,86279.88316849855,86329.4216313083,
0,0,1,41.855372297468335,87401.56794930996,87444.03017445793,
0,0,4,41.943741785725535,85155.6175073893,85219.30775957325,
3,1,0,43.33174783437507,84575.38675134705,84639.080089069,
4,1,0,43.39163861546919,84566.74909590706,84637.51832849241,
1,1,0,43.57935952409264,84581.41489121607,84630.9549536602,
2,1,0,43.645690447967944,84573.26421347818,84629.88051367547,
3,3,4,43.78182407502758,84340.36838464899,84446.51709037594,
4,1,4,43.81205803171569,84317.5267517825,84416.59727667038,
1,1,3,44.69928964954281,84331.8741290789,84402.64221887242,
1,1,4,44.71803357832311,84324.14414284861,84401.98778440678,
1,3,0,44.79257033954432,84339.77292003924,84403.46522936606,
1,1,2,44.865773862899246,84336.13565764553,84399.82796697236,
1,3,2,44.87690884257518,84341.4442715235,84419.2904273674,
1,4,0,44.93278751047146,84327.61462798768,84398.3827177812,
2,1,3,45.06873198564282,84324.2312574758,84402.07489903396,
4,2,4,45.121694789639875,84317.79881998232,84423.94581093361,
2,1,4,45.13605192316009,84316.80784781046,84401.72681239202,
3,1,3,45.151234939467685,84326.76612164803,84411.6864578933,
2,3,0,45.202439907859656,84329.98576190227,84400.75385169579,
2,3,2,45.32163911321208,84331.96993357455,84416.89164132677,
3,1,2,45.329720495676305,84329.89091962512,84407.73581839798,
3,3,2,45.37648624479427,84334.51069079076,84426.50920752234,
2,4,0,45.397265794704694,84319.59287751965,84397.43651907782,
4,3,0,45.448016263938285,84325.28556307107,84410.20589931634,
4,3,2,45.460825106771026,84328.3785996648,84427.45232528428,
3,4,0,45.49498724074482,84322.14334274353,84407.0636789888,
3,3,0,45.510604516193425,84329.82494153378,84407.66984030664,
4,4,0,45.67042807121593,84314.16867608952,84406.16422105288,
4,1,3,45.67667043734617,84315.2284370564,84407.22398201976,
2,3,4,45.84210893045941,84307.13374754165,84406.2058728868,
4,4,4,49.13969997920132,84287.51409316319,84407.81401624133,
4,3,3,61.801373050335734,92214.83287553283,92320.98158125978,
3,3,3,81.9459800290629,93643.5875569441,93742.66128256358,
2,3,3,4.421615230117721e+20,93650.31961186613,93742.31664279851,
2,4,4,1.1344122317514109e+61,86310.2191663639,86416.36787209085,
1,3,3,,,,Input contains NaN.
1,4,2,,,,Input contains NaN.
1,4,3,,,,Input contains NaN.
2,4,2,,,,Input contains NaN.
2,4,3,,,,Input contains NaN.
3,4,2,,,,Input contains NaN.
3,4,3,,,,Input contains NaN.
4,4,2,,,,Input contains NaN.
4,4,3,,,,Input contains NaN.
