ID1_price_rolling_z_score,Hour,DayOfWeek,Month,action,reward,cumulative_reward
0.0,0,6,1,0,5.42646846484894,5.42646846484894
-0.7071067811865477,1,6,1,1,0.0,5.42646846484894
0.985785634928282,2,6,1,1,0.0,5.42646846484894
-0.1476386991210041,3,6,1,1,0.0,5.42646846484894
0.9815894142895588,4,6,1,1,0.0,5.42646846484894
1.410920165131864,5,6,1,1,0.0,5.42646846484894
0.4902068913611762,6,6,1,1,0.0,5.42646846484894
0.8936652747203586,7,6,1,1,0.0,5.42646846484894
0.3949672944556087,8,6,1,1,0.0,5.42646846484894
0.7185019516993197,9,6,1,1,0.0,5.42646846484894
-0.5051418622273897,10,6,1,1,0.0,5.42646846484894
-2.185071178349346,11,6,1,1,0.0,5.42646846484894
-0.2281196813132405,12,6,1,1,0.0,5.42646846484894
0.3203372573083615,13,6,1,1,0.0,5.42646846484894
1.9794567813652344,14,6,1,1,0.0,5.42646846484894
3.3713935293240715,15,6,1,1,0.0,5.42646846484894
3.539388701458131,16,6,1,1,0.0,5.42646846484894
2.662288048117449,17,6,1,1,0.0,5.42646846484894
2.559759891782453,18,6,1,1,0.0,5.42646846484894
1.6479593132763095,19,6,1,1,0.0,5.42646846484894
0.8223552018471922,20,6,1,1,0.0,5.42646846484894
1.2169740914022844,21,6,1,1,0.0,5.42646846484894
1.123139359966817,22,6,1,1,0.0,5.42646846484894
1.1760972248480248,23,6,1,1,0.0,5.42646846484894
0.879634067012612,0,0,1,2,33.987527835957714,39.41399630080665
-0.5946038797769955,1,0,1,0,-1.3534548385520666,38.060541462254584
0.582208829238755,2,0,1,1,0.0,38.060541462254584
-0.0483962094341027,3,0,1,1,0.0,38.060541462254584
0.1574729657603631,4,0,1,1,0.0,38.060541462254584
-0.2338646683817949,5,0,1,1,0.0,38.060541462254584
0.1652400621333353,6,0,1,1,0.0,38.060541462254584
1.2047680134162495,7,0,1,1,0.0,38.060541462254584
1.3007846406714667,8,0,1,1,0.0,38.060541462254584
1.3164931391263002,9,0,1,1,0.0,38.060541462254584
1.8077071283602504,10,0,1,1,0.0,38.060541462254584
2.430505718300041,11,0,1,1,0.0,38.060541462254584
1.380812268126987,12,0,1,1,0.0,38.060541462254584
1.0521507969163406,13,0,1,1,0.0,38.060541462254584
1.643522569793844,14,0,1,1,0.0,38.060541462254584
1.881730496908729,15,0,1,1,0.0,38.060541462254584
1.695055256707828,16,0,1,1,0.0,38.060541462254584
1.775805104985014,17,0,1,1,0.0,38.060541462254584
1.6872189427454545,18,0,1,1,0.0,38.060541462254584
1.3833900891018265,19,0,1,1,0.0,38.060541462254584
0.7361173336187471,20,0,1,1,0.0,38.060541462254584
0.4854922696291898,21,0,1,1,0.0,38.060541462254584
0.3243494355107068,22,0,1,1,0.0,38.060541462254584
0.3814540131117171,23,0,1,1,0.0,38.060541462254584
-0.1740848426800918,0,1,1,2,54.27417148146989,92.33471294372447
0.0623411024088819,1,1,1,0,-70.62630926220059,21.708403681523876
-0.5789515251741494,2,1,1,1,0.0,21.708403681523876
-0.1985013355082176,3,1,1,1,0.0,21.708403681523876
-0.0026649780134283,4,1,1,1,0.0,21.708403681523876
-0.1448251903165226,5,1,1,1,0.0,21.708403681523876
1.091151724093915,6,1,1,1,0.0,21.708403681523876
1.787177644269377,7,1,1,1,0.0,21.708403681523876
1.094990934154619,8,1,1,1,0.0,21.708403681523876
1.1214842302626442,9,1,1,1,0.0,21.708403681523876
0.8435867413347896,10,1,1,1,0.0,21.708403681523876
0.9870635436562468,11,1,1,1,0.0,21.708403681523876
1.258082638873333,12,1,1,1,0.0,21.708403681523876
1.0116438979799989,13,1,1,1,0.0,21.708403681523876
1.0391497071136104,14,1,1,1,0.0,21.708403681523876
1.4012952064114454,15,1,1,1,0.0,21.708403681523876
1.1742685874689052,16,1,1,1,0.0,21.708403681523876
1.77967707325786,17,1,1,1,0.0,21.708403681523876
2.253966014095341,18,1,1,1,0.0,21.708403681523876
0.410759968275427,19,1,1,1,0.0,21.708403681523876
-0.02008812485651,20,1,1,1,0.0,21.708403681523876
-1.258009875305049,21,1,1,1,0.0,21.708403681523876
-1.6673809313576982,22,1,1,1,0.0,21.708403681523876
-1.7844800611552838,23,1,1,1,0.0,21.708403681523876
-2.0038880652208477,0,2,1,2,29.55907420065791,51.26747788218179
-2.312280168158622,1,2,1,0,-12.073576106522875,39.193901775658915
-2.2298967467928974,2,2,1,1,0.0,39.193901775658915
-2.136988559843476,3,2,1,1,0.0,39.193901775658915
-1.8965269987052888,4,2,1,1,0.0,39.193901775658915
-1.6281810714931502,5,2,1,1,0.0,39.193901775658915
-0.5317289971391261,6,2,1,1,0.0,39.193901775658915
-0.6918250592733913,7,2,1,1,0.0,39.193901775658915
-0.6301204246770377,8,2,1,1,0.0,39.193901775658915
-0.5166177838543893,9,2,1,1,0.0,39.193901775658915
-0.8013642961214927,10,2,1,1,0.0,39.193901775658915
-0.5344434391279967,11,2,1,1,0.0,39.193901775658915
-0.2806284372099795,12,2,1,1,0.0,39.193901775658915
-0.4418917385716169,13,2,1,1,0.0,39.193901775658915
-0.4038024742054287,14,2,1,1,0.0,39.193901775658915
-0.2840307203947526,15,2,1,1,0.0,39.193901775658915
-0.4736730646163882,16,2,1,1,0.0,39.193901775658915
-0.2246486189031965,17,2,1,1,0.0,39.193901775658915
-0.4207174278106625,18,2,1,1,0.0,39.193901775658915
-1.0641010022703583,19,2,1,1,0.0,39.193901775658915
-0.7021379509705921,20,2,1,1,0.0,39.193901775658915
