lags,ar_order,ma_order,out_of_sample_rmse,aic,bic
4,4,1,33.35879956969869,83902.60675465291,84001.68687954116
4,0,1,33.35883185722533,85177.0175846421,85247.79138708931
4,0,2,33.35883917958394,84829.58044489978,84907.43037109503
4,1,3,33.358845401653184,83857.46949141622,83949.47246452674
4,0,4,33.35884817704801,83843.1021855757,83935.1036733963
4,2,3,33.3588560926772,83852.64919091976,83951.72931580801
4,0,3,33.358858797107786,83853.2261048989,83938.15192623169
4,3,3,33.358879649135766,83855.50428944903,83961.66156611501
4,4,3,33.3588907852988,83854.8442083056,83968.07863674931
4,4,2,33.358904128356365,83900.120138658,84006.27741532399
4,0,0,33.35921376994824,158386.60925011704,158450.3067002448
4,2,1,33.36015094863135,84120.91203858594,84205.84060152258
3,3,1,33.366960966363386,84105.15486457823,84190.08205679125
4,4,0,33.36778484364102,83933.97676371755,84025.97973682807
3,0,1,33.36830236709634,85171.4172862231,85235.11370842559
3,0,3,33.36833837126596,83851.12055959326,83928.96922914831
3,0,4,33.368345398348865,83841.78711336959,83926.71156366554
3,3,3,33.36835129564989,83846.09364164612,83945.17376653437
3,4,3,33.36835220868892,83848.05938228848,83954.21665895446
3,1,3,33.36835310117688,83856.52339214011,83941.4492134729
3,4,1,33.36835526397279,83894.34776486068,83986.3507379712
3,2,3,33.36835826660726,83851.8156759965,83943.81864910702
3,4,2,33.36837275439554,83885.25141644436,83984.3315413326
3,0,2,33.36846882358496,84846.9961745264,84917.76883470391
3,0,0,33.368949851117165,158386.7884719554,158443.40842762453
3,2,1,33.36996834319385,84112.08729735194,84189.93848004386
4,2,2,33.37074557507529,84157.81893378512,84249.82339201588
4,3,1,33.370884264058496,84110.59572870859,84202.60018693935
4,3,0,33.37183530118795,84097.41105480723,84182.33824702025
4,3,2,33.37233025143203,83985.45032868332,84084.53205293183
4,4,4,33.37330060326629,83831.46215274875,83951.77179066799
4,1,1,33.374978345300015,84112.17275982047,84190.02394251239
2,0,1,33.37626207819922,85177.83337366262,85234.45332933177
2,0,3,33.376298916956294,83859.01914747729,83929.7918076548
2,0,4,33.376305688120105,83849.00999304121,83926.85866259626
2,4,3,33.376309679699055,83856.80200893646,83955.88373318496
2,3,3,33.37631108435857,83854.83948294588,83946.84394117664
2,1,3,33.376314035445255,83865.64632188271,83943.49624807796
2,4,1,33.37631669505811,83908.45149620307,83993.37868841608
2,2,3,33.37631797494419,83863.93771999376,83948.86491220677
2,4,2,33.37632376538855,83895.12070154797,83987.12515977873
2,0,2,33.376430191674466,84873.14948024452,84936.845902447
2,3,1,33.37706919621221,84119.52340830347,84197.37459099539
3,4,0,33.37710076502195,83925.87401360043,84010.79983493322
2,0,0,33.378397550115224,158403.41871062416,158452.96197124082
4,2,0,33.378926031154236,84107.14745954206,84184.99864223397
4,2,4,33.379227948882665,83826.32991006131,83932.48547293124
4,1,4,33.37930404650261,83822.78565080173,83921.86417614699
4,3,4,33.37934074881243,83829.33222868845,83942.56482908304
3,2,2,33.37987857353094,84156.15586690186,84241.08305911487
2,2,1,33.38002889713429,84126.06296272005,84196.83790730649
2,3,0,33.38039648003515,84108.99455948082,84179.76836192803
3,3,2,33.38183287827846,83967.69377941787,84059.69823764863
3,3,0,33.3821397102048,84094.16538050516,84172.01530670041
4,1,2,33.38309157264236,84090.96827912604,84175.89547133906
3,2,4,33.38347294398298,83825.11575530987,83924.19428065514
3,1,4,33.38443447736931,83821.73321388123,83913.73470170183
4,1,0,33.38484853869177,84156.43961094494,84227.21455553138
2,4,0,33.3851484629235,83939.15151933745,84017.0014455327
3,1,1,33.386052999131614,84107.55811840997,84178.33192085718
3,3,4,33.387649109338824,83830.55351395303,83936.70907682295
3,4,4,33.38801910300602,83831.34373124615,83944.57633164074
2,2,2,33.38952710542521,84172.24120653764,84250.09238922955
3,2,0,33.390407639582875,84102.90221802042,84173.67602046762
2,3,2,33.391710647947725,83973.91164203448,84058.84020497111
3,1,2,33.392880692038354,84089.47325902688,84167.32318522214
3,1,0,33.39513617306024,84153.03238072901,84216.7298308568
2,3,4,33.395438971690446,83839.01723112,83938.09735600825
2,1,1,33.395704658830496,84121.83301709517,84185.53046722295
2,4,4,33.39705554728325,83838.95936672445,83945.11664339043
2,2,0,33.40000719045,84117.58403374405,84181.28148387183
2,2,4,33.40157194393411,83836.31426097489,83928.3172340854
2,1,4,33.401606802418605,83834.15477384276,83919.08059517555
2,1,2,33.40168179265535,84106.1523862554,84176.92618870261
2,1,0,33.40493030519266,84165.78807019613,84222.4089394723
1,2,2,33.45999361524057,84315.82917180163,84386.60297424883
1,2,1,33.46302106570196,84214.48530778848,84278.18275791626
1,0,1,33.46485645795658,85217.71961663855,85267.26207784905
1,1,4,33.46486283054493,83863.11717203804,83940.96584159309
1,0,3,33.464864295759305,83870.46076060587,83934.15615476563
1,0,4,33.46486520801942,83864.50520736468,83935.276725142
1,2,3,33.464878689109185,83884.89686007405,83962.7467862693
1,1,3,33.46487965129907,83900.7613041689,83971.53396434641
1,0,2,33.46490008015475,84923.67182387185,84980.29086582961
1,4,1,33.46558558664139,83961.42668263256,84039.27660882781
1,3,0,33.465861870800076,84197.9670469309,84261.66346913339
1,0,0,33.46706068839986,158412.74259701007,158455.20824896722
1,3,4,33.46735190480832,83830.38414059088,83922.38711370139
1,4,4,33.4682899379202,83833.38533037977,83932.46545526801
1,2,4,33.46841963300519,83826.01830486045,83910.94412619324
1,4,3,33.470319424164785,83867.90775843221,83959.91221666297
1,3,2,33.470480311207346,84085.83520972582,84163.68639241773
1,4,0,33.47754052572641,84015.28140127737,84086.05406145488
1,3,1,33.47865324704659,84208.83706692928,84279.61086937648
1,1,1,33.479912010611955,84211.63851917787,84268.25847484701
1,4,2,33.48045880917143,84003.07080254512,84087.99799475813
1,3,3,33.48182538828642,83866.40913315164,83951.33632536465
1,2,0,33.48517797807121,84206.49733874627,84263.11729441541
1,1,2,33.490301965467026,84199.5171071997,84263.21352940219
1,1,0,33.49548089295074,84260.50241933156,84310.04567994822
0,0,2,39.27154347432344,84761.50447020272,84811.04693141322
0,0,1,39.27157430527807,85532.16467738549,85574.63032934262
0,0,0,39.273856941817115,158941.29937304987,158976.68798728668
0,0,4,39.28738231215464,84112.85650434217,84176.55189850193
0,0,3,39.302214199252596,84334.54476220979,84391.16380416755
