lags,ar_order,ma_order,out_of_sample_rmse,aic,bic
4,3,3,39.78419369943202,84180.68931266546,84286.82772679681
3,2,3,39.806213834550555,84186.45800546432,84278.44611803367
3,3,3,39.83202723579759,84184.02589611973,84283.09001734825
3,4,3,39.83818393031665,84177.74561383827,84283.88574372599
3,2,4,39.84563464195152,84171.40256224014,84270.46508209607
3,1,3,39.853462412055606,84183.88592889092,84268.79803280109
4,3,2,39.8732766297227,84234.7211986272,84333.78531985573
4,4,3,39.87772864010662,84182.7347833241,84295.94909173087
4,2,1,39.88050527472476,84191.4705403577,84276.38401671597
3,1,4,39.88776101570903,84169.73156137297,84261.71818695347
4,2,3,39.89920370926838,84174.54798770866,84273.61050756459
4,3,4,39.915162046849574,84170.43137452702,84283.64385258431
4,2,2,39.928211803365635,84182.72623022791,84274.71434279726
4,1,3,39.94325781593751,84172.38411569863,84264.37074127913
4,2,4,39.95588400784939,84165.82045021477,84271.95714839349
4,3,0,39.97739944778133,84203.1572705541,84288.06937446428
4,1,4,39.98245685223352,84162.06372216952,84261.12464046964
1,2,1,40.109727444386,84212.25745854722,84275.94462413498
1,4,0,40.14420147570442,84206.50001553413,84277.26124583269
1,1,3,40.16334942200351,84195.66413948989,84266.42536978846
1,2,4,40.20579245376943,84186.29910071642,84271.2112046266
1,3,4,40.21238875027382,84187.0127749148,84279.00088748414
1,3,3,40.237020574108875,84195.06133192033,84279.9748082786
1,4,3,40.258439955857455,84190.99414782967,84282.9837472178
1,1,4,40.2615900704518,84182.19511248359,84260.03120773457
1,2,3,40.37445796845423,84195.09521718234,84272.93257051076
0,0,0,40.79746880045157,161832.91969706942,161868.30202738653
0,0,2,40.79859869674151,86432.41890209948,86481.95256381165
0,0,1,40.79904147943225,87602.26402164197,87644.7221320338
0,0,3,40.82745007748395,85725.70619061652,85782.31517485536
0,0,4,40.873305286369785,85270.64075862363,85334.32483655626
3,3,2,42.52931795029016,85136.08496803064,85228.07456741878
2,3,2,47.3817595124794,86632.78335035237,86717.69682671064
1,4,2,48.39486212213883,87342.50820307956,87427.42167943783
4,4,4,50.56637917321325,86893.27828504654,87013.56654298241
2,4,2,52.355889989304444,87142.80893177763,87234.79704434698
1,3,2,54.08588131322634,87384.64084659683,87462.4794578588
3,4,2,56.230598793711444,88238.18052101159,88337.24464224011
